cl,cd
0.0001256281407035209,0.019055419055419034
0.00954773869346734,0.018918918918918906
0.04723618090452267,0.018918918918918906
0.09277638190954776,0.019191919191919177
0.1288944723618091,0.019464919464919447
0.16501256281407042,0.02014742014742013
0.19327889447236188,0.020829920829920814
0.22311557788944733,0.021512421512421498
0.24824120603015085,0.022331422331422324
0.2780778894472362,0.02355992355992355
0.30791457286432167,0.02465192465192463
0.3346105527638191,0.026016926016925998
0.3644472361809046,0.027791427791427778
0.3864321608040201,0.029019929019929003
0.40841708542713573,0.03079443079443077
0.4256909547738694,0.032159432159432136
0.44767587939698505,0.033797433797433774
0.4665201005025126,0.035708435708435696
0.4853643216080402,0.03761943761943762
0.5042085427135679,0.0398034398034398
0.5183417085427136,0.041714441714441705
0.5324748743718595,0.04362544362544361
0.5466080402010052,0.045672945672945664
0.5576005025125629,0.04744744744744743
0.5701633165829146,0.04963144963144962
0.5811557788944725,0.05154245154245153
0.5921482412060303,0.05386295386295385
0.604711055276382,0.05631995631995631
0.6157035175879397,0.05877695877695877
0.6266959798994977,0.06068796068796068
0.6345477386934675,0.06287196287196287
0.6423994974874374,0.0649194649194649
0.6486809045226132,0.06669396669396668
0.658103015075377,0.06819546819546818
